Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,T,P,WS
2014-01-01,1,0,1,0,0,0,6,0,0,0,1,2,0,0,1,4,1,0,2,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,0,1,31.0,0.0,14.0
2014-01-02,1,0,0,1,0,0,2,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,31.0,0.0,14.0
2014-01-03,2,0,0,0,0,3,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,3,1,1,31.0,0.0,14.0
2014-01-04,5,0,0,2,1,0,3,0,1,1,2,1,0,1,0,0,2,0,2,0,0,1,1,0,0,1,0,2,1,3,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,4,6,0,1,31.0,0.0,14.0
2014-01-05,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,3,2,1,1,1,0,0,1,0,1,2,1,0,0,4,1,2,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,4,0,0,31.0,0.0,14.0
2014-01-06,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,8,0,0,31.0,0.0,14.0
2014-01-07,0,1,3,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,31.0,0.0,14.0
2014-01-08,1,1,0,1,0,2,7,0,2,1,4,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,5,0,0,31.0,0.0,14.0
2014-01-09,1,0,0,0,0,0,3,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,5,0,0,1,0,0,0,0,3,0,0,1,1,0,0,1,0,0,4,0,0,31.0,0.0,14.0
2014-01-10,1,3,1,1,0,0,6,0,4,0,1,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,10,1,1,31.0,0.0,14.0
2014-01-11,2,1,0,0,2,2,4,0,1,0,1,1,0,1,1,0,2,1,3,0,0,0,0,0,0,1,0,0,1,3,2,0,2,2,0,1,0,2,0,0,0,3,0,1,0,0,0,2,0,1,31.0,0.0,14.0
2014-01-12,2,2,0,1,2,0,2,1,0,1,3,1,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,1,1,2,1,0,1,3,0,0,0,2,1,0,0,1,0,1,0,0,0,3,0,0,31.0,0.0,14.0
2014-01-13,1,0,0,0,0,0,3,0,2,2,0,1,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,8,0,0,31.0,0.0,14.0
2014-01-14,1,0,1,0,0,2,10,2,0,0,0,2,0,1,1,0,1,1,1,1,0,0,0,2,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,0,31.0,0.0,14.0
2014-01-15,3,1,0,1,1,0,6,0,4,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,2,1,2,0,1,1,0,0,1,0,0,6,0,0,31.0,0.0,14.0
2014-01-16,1,0,0,2,0,0,6,1,1,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,4,0,0,31.0,0.0,14.0
2014-01-17,3,1,2,1,0,0,7,0,2,0,0,1,0,0,0,0,0,1,3,1,0,0,0,1,0,0,1,0,1,2,0,1,0,0,0,0,0,3,0,0,3,0,0,0,2,0,0,13,0,0,31.0,0.0,14.0
2014-01-18,5,0,0,1,0,0,8,0,0,1,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,3,6,2,1,0,3,0,0,1,0,3,2,0,1,0,0,0,0,0,1,3,0,0,31.0,0.0,14.0
2014-01-19,2,1,1,0,0,0,3,0,0,1,0,2,0,1,1,4,0,1,1,0,1,0,0,0,0,1,0,1,4,6,1,2,2,1,0,1,0,1,4,0,2,3,0,0,0,0,0,4,1,1,31.0,0.0,14.0
2014-01-20,0,1,0,0,0,1,3,0,0,0,0,1,0,2,0,3,0,0,1,1,0,0,0,0,0,3,1,2,1,3,3,0,1,1,0,3,0,0,2,1,0,0,0,0,0,0,0,6,0,1,31.0,0.0,14.0
