,name,categories
0,Primanti Bros,"Sandwiches, Restaurants, Botanical Gardens, Sports Bars, Bars, Arts & Entertainment, Nightlife, American (New)"
1,Rite Aid,"Food, Shopping, Convenience Stores, Flowers & Gifts, Arts & Crafts, Drugstores, Cards & Stationery, Event Planning & Services"
2,Industry Public House,"Gastropubs, American (New), Restaurants, Bars, Breakfast & Brunch, Sandwiches, American (Traditional), Nightlife"
3,Dunkin' Donuts,"Coffee & Tea, Breakfast & Brunch, Donuts, Food, Restaurants"
4,Bruegger's Bagels,"Breakfast & Brunch, Coffee & Tea, Bagels, Sandwiches, Restaurants, Food"
5,Nicky's Thai Kitchen,"Thai, Desserts, Restaurants, Seafood, Vegan, Food"
6,Starbucks,"Food, Coffee & Tea, Fast Food, Cafes, Restaurants, Sandwiches"
7,Panera Bread,"Bakeries, Breakfast & Brunch, Restaurants, Salad, Sandwiches, Bagels, Soup, Delis, Coffee & Tea, Food"
8,Commonplace Coffee,"Cafes, Coffee & Tea, Food, Internet Cafes, Restaurants"
9,Crazy Mocha,"Coffee & Tea, Convenience Stores, Food"
10,Giant Eagle,"Shopping, Flowers & Gifts, Florists, Food, Grocery, Health Markets, Specialty Food, Drugstores"
11,LA Fitness,"Gyms, Sports Clubs, Fitness & Instruction, Active Life, Trainers, Yoga"
12,Heinz Field,"Tours, Event Planning & Services, Hotels & Travel, Stadiums & Arenas, Venues & Event Spaces, Arts & Entertainment"
13,Giant Eagle Market District,"Drugstores, Specialty Food, Grocery, Meat Shops, Shopping, Food, Bakeries"
14,Eat'n Park,"Diners, American (New), American (Traditional), Breakfast & Brunch, Buffets, Restaurants"
15,Seviche,"Tapas/Small Plates, Latin American, Cuban, Restaurants"
16,Chipotle Mexican Grill,"Food, Fast Food, Restaurants, Mexican"
17,Winghart's Burger & Whiskey Bar,"Burgers, Whiskey Bars, Restaurants, Bars, Nightlife, Pizza, American (New)"
18,Target,"Drugstores, Home & Garden, Department Stores, Fashion, Shopping"
19,Sichuan Gourmet,"Seafood, Szechuan, Soup, Restaurants, Chinese"
20,Aladdin's Eatery,"Vegan, Juice Bars & Smoothies, Food, Mediterranean, Nightlife, Bars, Soup, Restaurants, Vegetarian, Middle Eastern"
21,Carnegie Mellon University,"Colleges & Universities, Education"
22,The Coffee Tree Roasters,"Desserts, Restaurants, Bakeries, Cafes, Coffee Roasteries, Food, Coffee & Tea"
23,Espresso A Mano,"Food, Coffee & Tea"
24,The Porch at Schenley,"Restaurants, Soup, Sandwiches, Pizza, Burgers, American (New)"
25,PPG Paints Arena,"Stadiums & Arenas, Music Venues, Event Planning & Services, Arts & Entertainment, Nightlife, Venues & Event Spaces"
26,Market Square,"Cajun/Creole, Restaurants, Local Flavor, Parks, Shopping Centers, Farmers Market, Active Life, Shopping, Food"
27,Whole Foods Market,"Organic Stores, Food, Grocery, Specialty Food, Health Markets"
28,Meat & Potatoes,"Meat Shops, Food, Specialty Food, Steakhouses, American (New), Restaurants, Gastropubs"
29,Burgatory,"American (Traditional), Food, Juice Bars & Smoothies, Burgers, Nightlife, Cocktail Bars, Restaurants, American (New), Beer Bar, Bars, Fast Food"
30,Fat Heads Saloon,"Restaurants, Bars, American (Traditional), Nightlife"
31,Rivers Casino,"Nightlife, Restaurants, Sports Bars, Casinos, Steakhouses, Bars, Arts & Entertainment"
32,Ross Park Mall,"Real Estate, Shopping Centers, Fashion, Property Management, Department Stores, Home Services, Shopping"
33,Trader Joe's,"Florists, Specialty Food, Beer, Wine & Spirits, Food, Shopping, Grocery, Flowers & Gifts"
34,Kaya,"Restaurants, Nightlife, Bars, Latin American, Caribbean"
35,Piper's Pub,"Restaurants, Bars, Irish, British, Fish & Chips, Pubs, Nightlife"
36,PNC Park,"Active Life, Baseball Fields, Stadiums & Arenas, Arts & Entertainment"
37,Mad Mex - Shadyside,"Tex-Mex, Restaurants, Mexican"
38,P&G's Pamela's Diner,"Sandwiches, Breakfast & Brunch, Restaurants, Diners"
39,Carnegie Science Center,"Museums, Arts & Entertainment"
40,Noodlehead,"Thai, Restaurants, Noodles, Food"
41,Church Brew Works,"Bars, Restaurants, Nightlife, Breweries, American (Traditional), Desserts, Food"
42,iLoveKickboxing- Pittsburgh,"Kickboxing, Fitness & Instruction, Active Life, Health & Medical, Gyms, Martial Arts, Boxing, Weight Loss Centers"
43,Everyday Noodles,"Vegetarian, Noodles, Chinese, Restaurants"
44,University of Pittsburgh,"Education, Colleges & Universities"
45,Sienna Mercato,"Cocktail Bars, Italian, American (New), Nightlife, Bars, Pizza, Restaurants"
46,Gaucho Parrilla Argentina,"Argentine, Latin American, Restaurants, Seafood"
47,Pittsburgh International Airport,"Restaurants, Airports, Fast Food, Hotels & Travel"
48,Mount Washington,Local Flavor
49,Hofbrauhaus Pittsburgh,"Food, Bars, Pubs, German, Restaurants, Breweries, French, Nightlife"
